generation,pop_size,n_species,fitness_avg,fitness_std,fitness_best,n_extinctions,time_elapsed,run
2,20,1,19.62208471336542,13.723641959504455,43.37901203224996,0,260.24843311309814,run-10
3,20,1,14.390037849562916,8.491938580280328,30.23860317152804,0,189.96450233459475,run-10
4,20,1,13.162184956350552,10.912982241381576,52.19475643057425,0,185.24605202674863,run-10
5,20,1,12.767537384115291,6.112688659788834,24.89054068245035,0,181.86093592643735,run-10
6,20,1,9.67678616013541,7.279148405597604,26.817703768561515,0,134.70331692695618,run-10
7,20,1,12.725676360631592,8.53474706780912,27.65098708933597,0,179.08651423454285,run-10
8,20,1,18.44473272587826,10.537266848666729,60.01381735666466,0,230.0428357124329,run-10
9,20,1,18.7106536494026,5.811696772823513,28.88101411486876,0,252.2335588932037,run-10
10,20,1,4.067247827797981,0.7353035389111091,4.862741263021383,0,68.74858498573303,run-10
11,20,1,8.57952605763613,5.216542672084554,30.240775721586385,0,108.90717673301695,run-10
12,20,1,18.520924881115118,9.687641846182256,34.3169755520314,0,238.53475832939148,run-10
13,20,1,17.05152504670531,7.973221169895265,37.814699982986845,0,224.8635070323944,run-10
14,20,1,18.93870712364508,10.54260005819729,42.55827991918821,0,289.4292411804199,run-10
15,20,1,19.31065310165526,8.078418794912826,47.87563659507261,0,257.3378591537476,run-10
16,20,1,4.63546610123352,0.4212426022223576,5.074131454855358,0,72.95341157913208,run-10
17,20,1,12.03560871689483,4.131884301090604,20.8948663942824,0,162.68563795089722,run-10
18,20,1,12.59093416575639,4.008797472153301,22.248592632917084,0,176.04031205177307,run-10
19,20,1,19.616975566008144,7.009872920196967,36.594317082110656,0,245.1195454597473,run-10
0,20,1,6.867522009301093,6.483383474323393,24.01526637012337,0,111.84256505966188,run-15
1,20,1,16.63647035718646,9.67873181869615,40.36706566485871,0,215.1206059455872,run-15
2,20,1,19.752089866721303,16.304085163706485,60.00790202514693,0,245.5542569160461,run-15
3,20,1,20.32482823912057,12.25245286471067,45.86088944893928,0,239.16138529777527,run-15
4,20,1,25.04724367475669,10.87598578626922,58.88954798014968,0,288.5544667243957,run-15
5,20,1,18.88288982411874,11.652096422976582,46.44153052879947,0,243.20348954200745,run-15
6,20,1,24.670128869433437,9.808081320296925,40.301772655084086,0,322.08911204338074,run-15
7,20,1,34.554640034760055,13.253938385659076,60.05543198012846,0,403.7966766357422,run-15
8,20,1,19.67124141120346,13.169609615678612,44.82134898940796,0,246.2541177272797,run-15
9,20,1,31.69868562640359,10.114378625363326,60.01353627692437,0,355.4304473400116,run-15
10,20,1,29.78007640126736,10.250965992163538,60.00886342260274,0,351.2561032772064,run-15
11,20,1,16.739100007371345,14.62232029430834,60.021747470712015,0,206.22361707687375,run-15
12,20,1,26.431763219081027,11.872684114184116,50.444358476372656,0,315.32295298576355,run-15
13,20,1,27.38545226892259,10.824645688006042,44.81445320346175,0,323.2377896308899,run-15
14,20,1,34.39193770813164,11.791490278762138,57.4262797817906,0,391.7526149749756,run-15
15,20,1,24.139664121459425,10.027406308812004,50.95909292059595,0,295.6591305732727,run-15
16,20,1,37.52620086907351,11.3437433485785,60.04771011409101,0,420.66386675834656,run-15
17,20,1,26.510281652861845,10.13494088723703,57.712875396488585,0,316.25030875205994,run-15
18,20,1,26.14689544337353,13.74550611966174,60.010556731498994,0,309.1484315395355,run-15
19,20,1,31.75337537768595,10.73461960151167,60.014572069584425,0,369.2842814922333,run-15
0,20,1,15.38162915547608,8.633561908777265,28.390872951785735,0,200.44799280166623,run-4
1,20,1,13.685830947209364,6.449650549617173,37.25932281446045,0,186.62565112113955,run-4
2,20,1,9.536272830566803,3.830121594702005,21.040611154243564,0,136.32557225227356,run-4
3,20,1,17.945159384292914,11.940064967846954,44.311713572161565,0,223.7474980354309,run-4
4,20,1,5.58231559723118,1.7589777597792178,13.075830660847272,0,79.8689112663269,run-4
5,20,1,4.328538884770359,0.8418233529386646,7.342889587402698,0,71.45287442207336,run-4
6,20,1,5.081174032934473,4.000111295693836,22.46731535447493,0,81.63234424591064,run-4
7,20,1,17.03274903035743,12.429521271445283,40.188084213610175,0,242.1169586181641,run-4
8,20,1,22.77211793606091,9.862922134248688,41.64359858168877,0,301.4134883880615,run-4
9,20,1,4.345430046322059,0.4184325503510535,5.23480302005504,0,70.72082328796387,run-4
10,20,1,22.17407352666408,9.649817387395116,43.43664021663364,0,275.8616898059845,run-4
11,20,1,17.92724452784386,5.39204381410221,27.263786130282224,0,232.644238948822,run-4
12,20,1,12.433274085573114,6.92927776573424,32.72020321303886,0,178.80264139175415,run-4
13,20,1,13.890369549071128,8.68620724703664,31.14134193763656,0,186.2511579990387,run-4
14,20,1,17.959994587204072,8.906226175494544,39.648251706514905,0,229.55778574943545,run-4
15,20,1,18.554460997585146,7.377230494125791,36.69027668877516,0,233.44820761680603,run-4
