generation,pop_size,n_species,fitness_avg,fitness_std,fitness_best,n_extinctions,time_elapsed,run
10,20,1,3.407650797754132,0.9633220404462572,4.9350999927120816,0,65.10191416740417,run-15
11,20,1,6.276922598355655,3.081520143008609,13.633030062223854,0,101.37001132965088,run-15
12,20,1,18.43149299741804,12.299186795701662,43.44237274283832,0,305.9904611110687,run-15
13,20,1,14.19048180686211,6.933097617247922,36.502321851216,0,199.95022583007807,run-15
14,20,1,17.93738834226702,9.829785490441186,40.32313204956113,0,256.7703220844269,run-15
15,20,1,22.266061067131304,15.60402558337486,60.02912775822188,0,287.2871060371399,run-15
16,20,1,10.060995139463795,9.497129473703048,31.827582604372655,0,167.98719811439514,run-15
17,20,1,14.185085641324736,11.79567090494711,51.76981194726898,0,205.6443130970001,run-15
18,20,1,18.205021495417093,9.477939653436872,46.23658585575262,0,238.3714952468872,run-15
19,20,1,23.514649011803947,7.90690900438312,44.28322141843234,0,297.4146134853363,run-15
0,20,1,13.515473246598283,7.046036133266593,25.15034229250818,0,182.69769191741943,run-4
1,20,1,12.278361011732304,4.29097197551361,25.95227943136107,0,176.32445335388184,run-4
2,20,1,9.662813832420742,5.7068861574753775,26.78178766465129,0,140.99998140335083,run-4
3,20,1,7.416001660636626,5.90420052117273,27.1620224667556,0,108.37478065490724,run-4
4,20,1,16.542112010426536,10.324302483709385,39.68569886027565,0,214.15952515602112,run-4
5,20,1,13.970571484442718,14.81720058521919,55.12899919128756,0,187.2705283164978,run-4
6,20,1,10.723431351008044,9.875803771297186,42.96165833668683,0,152.54438400268555,run-4
7,20,1,18.66936640244577,9.744500740907846,37.43697875913562,0,252.17568469047544,run-4
8,20,1,18.65486641769204,8.34650515218036,33.83465132951353,0,245.11678504943848,run-4
9,20,1,5.203894403356962,4.388251471416866,24.078517794209645,0,92.09375619888306,run-4
10,20,1,23.333903954254087,7.353776220475288,41.258264071487226,0,306.4695129394531,run-4
11,20,1,18.386194384232603,11.1742560709481,45.8893092291747,0,247.61506056785583,run-4
12,20,1,13.729134713740098,7.788826320276699,28.31233016093576,0,192.93983244895932,run-4
13,20,1,17.14725373918229,10.217630103650729,40.482470942579646,0,220.54735445976257,run-4
14,20,1,21.398767687649,13.521114384978851,43.08413785765976,0,281.1840252876282,run-4
15,20,1,24.13808926508081,13.992808445705124,51.082413255870335,0,290.5361170768738,run-4
16,20,1,9.159846446579468,5.836907833849508,22.812866687718508,0,139.6913194656372,run-4
17,20,1,21.556412112341764,7.563783621028369,39.56842078872952,0,278.6085388660431,run-4
18,20,1,22.11920204901158,6.859511302744827,34.49764239725753,0,295.80276250839233,run-4
19,20,1,16.60674277762813,15.70331221599861,60.01095405589569,0,215.49489164352417,run-4
0,20,1,10.313942211788978,9.446948414596914,30.21349569567384,0,156.23396849632263,run-13
1,20,1,19.05462431425894,13.961069516006916,60.02126609443986,0,250.15013670921329,run-13
2,20,1,20.481421643003998,10.985469121727284,55.60502182206216,0,266.0798993110657,run-13
3,20,1,16.667978434264107,10.138818159302057,44.582856309790266,0,216.45646333694455,run-13
4,20,1,15.973075784456643,9.019064612766076,46.02458388340434,0,207.5479888916016,run-13
