generation,pop_size,n_species,fitness_avg,fitness_std,fitness_best,n_extinctions,time_elapsed,run
11,20,1,16.130674341691275,10.94080486937071,34.86500971670478,0,211.9939124584198,run-15
12,20,1,26.230400694110823,9.33263902501896,55.50407457031375,0,316.3439395427704,run-15
13,20,1,22.475330176077332,9.359167976497371,41.35970313365821,0,271.62851786613464,run-15
14,20,1,31.006669675954583,17.62513991200509,60.0186188970801,0,361.25210762023926,run-15
15,20,1,23.72152932794813,8.460533193375985,47.49369962394728,0,292.68322134017944,run-15
16,20,1,32.60290201803669,11.40487341203232,60.0108363522657,0,374.3445665836334,run-15
17,20,1,26.17386727577147,8.95755059941722,49.80308954886882,0,318.7516379356384,run-15
18,20,1,22.19782243166106,14.684633020652129,60.00086237569952,0,269.99913334846497,run-15
19,20,1,30.73106609258364,7.037430617380354,52.096982231292095,0,360.5081434249878,run-15
0,20,1,13.243373458257386,8.608491322867152,29.30581458711526,0,163.6825065612793,run-4
1,20,1,20.422959810732078,11.553245793444772,60.00018001704888,0,252.1789574623108,run-4
2,20,1,17.59558547885711,7.310864150696784,25.98167105744241,0,235.3651294708252,run-4
3,20,1,8.339323250610843,8.288513936167517,29.30143454048808,0,122.27291250228882,run-4
4,20,1,9.507003759269187,10.512158415549743,45.07104794969908,0,141.17943620681763,run-4
5,20,1,28.463355441526332,14.514612002105476,60.00585264092385,0,355.6245274543762,run-4
6,20,1,11.151924295642846,8.956448335754096,29.943508221973943,0,138.875070810318,run-4
7,20,1,30.80227268911354,11.427824840359753,57.957259601406335,0,356.9317080974579,run-4
8,20,1,28.69348947426341,8.353198551172177,47.0036766401881,0,351.6743698120117,run-4
9,20,1,26.905838518340584,13.350310297199703,58.49785959564122,0,319.9345791339874,run-4
10,20,1,28.294042215259235,12.706541733272187,44.592890583027874,0,338.98489713668823,run-4
11,20,1,29.02042277729128,14.403153680303785,60.02545858305049,0,323.6047372817993,run-4
12,20,1,19.00889250332308,9.651305837371902,40.28712652035101,0,241.0659441947937,run-4
13,20,1,22.85357333533245,9.577660016019502,47.59522286015538,0,285.0033504962921,run-4
14,20,1,31.53458761517808,11.31320430215092,60.005529767863614,0,369.513102054596,run-4
15,20,1,25.89511395913639,10.293022091903582,46.85864160294129,0,315.22311639785767,run-4
16,20,1,23.729958867549968,15.77062702244428,60.02336896403387,0,272.0965049266815,run-4
17,20,1,28.676313521514874,5.874400300298358,45.55620329863862,0,337.2816574573517,run-4
18,20,1,30.020592106446976,8.190679696576318,47.59144515076711,0,353.3093354701996,run-4
19,20,1,30.06381149880675,8.853201783699358,54.34020296463864,0,357.3721766471863,run-4
0,20,1,13.63692783959042,11.653980871392577,46.25535070866713,0,184.24538016319275,run-13
1,20,1,23.425807002095507,12.60336259674583,54.16450270537008,0,288.42638540267944,run-13
2,20,1,23.151264561629137,11.24362596669027,47.66466743143533,0,288.01331615448,run-13
3,20,1,25.403342744465203,14.23673900739868,60.01850754743366,0,313.91455721855164,run-13
4,20,1,19.48826215859198,8.975282661579065,47.58223881225176,0,246.40868043899536,run-13
5,20,1,22.926605516354343,8.223660763351171,44.290024693488846,0,285.4731705188751,run-13
6,20,1,23.238550898529,4.614173452307274,29.544613399793075,0,295.1429588794708,run-13
7,20,1,32.9522012533014,11.891977129953066,60.02558245595626,0,381.07935547828674,run-13
